ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-04-30,6.718199257827337,0.9192123345617101,9.27615893806637,6.718199257827337,6.718199257827337,-1.5548705439634547,-1.5548705439634547,-1.5548705439634547,-1.5548705439634547,-1.5548705439634547,-1.5548705439634547,0.0,0.0,0.0,5.163328713863882
2012-05-31,6.744048995238996,3.0563478712083065,10.969530726611163,6.744048995238996,6.744048995238996,0.4956772234767959,0.4956772234767959,0.4956772234767959,0.4956772234767959,0.4956772234767959,0.4956772234767959,0.0,0.0,0.0,7.239726218715792
2012-06-30,6.769064870153504,3.366001131338783,10.637606445910231,6.769064870153504,6.769064870153504,0.06768653451648898,0.06768653451648898,0.06768653451648898,0.06768653451648898,0.06768653451648898,0.06768653451648898,0.0,0.0,0.0,6.836751404669993
2012-07-31,6.794914607565163,0.9577130567910175,8.043720467010203,6.794914607565163,6.794914607565163,-2.315960961116059,-2.315960961116059,-2.315960961116059,-2.315960961116059,-2.315960961116059,-2.315960961116059,0.0,0.0,0.0,4.478953646449104
2012-08-31,6.820764344976822,2.1523426443746554,9.60103914834823,6.820764344976822,6.820764344976822,-0.9855890263157718,-0.9855890263157718,-0.9855890263157718,-0.9855890263157718,-0.9855890263157718,-0.9855890263157718,0.0,0.0,0.0,5.83517531866105
2012-09-30,6.845780219891331,3.8842584145874324,11.231651034569548,6.845780219891331,6.845780219891331,0.7497190263527387,0.7497190263527387,0.7497190263527387,0.7497190263527387,0.7497190263527387,0.7497190263527387,0.0,0.0,0.0,7.59549924624407
2012-10-31,6.871629957362153,2.160989441879516,9.832169561019585,6.871629957362153,6.871629957362153,-0.9074554046511552,-0.9074554046511552,-0.9074554046511552,-0.9074554046511552,-0.9074554046511552,-0.9074554046511552,0.0,0.0,0.0,5.964174552710998
2012-11-30,6.896645832333918,5.781117961485288,13.249101365707611,6.896645832333918,6.896645832333918,2.7319306246269317,2.7319306246269317,2.7319306246269317,2.7319306246269317,2.7319306246269317,2.7319306246269317,0.0,0.0,0.0,9.62857645696085
2012-12-31,6.922495569804741,8.131537087440986,15.887306358382443,6.922495569804741,6.922495569804741,5.299026003640988,5.299026003640988,5.299026003640988,5.299026003640988,5.299026003640988,5.299026003640988,0.0,0.0,0.0,12.22152157344573
2013-01-31,6.948345307275564,0.4822514510889005,8.230337073320216,6.948345307275564,6.948345307275564,-2.6577078643675742,-2.6577078643675742,-2.6577078643675742,-2.6577078643675742,-2.6577078643675742,-2.6577078643675742,0.0,0.0,0.0,4.29063744290799
2013-02-28,6.971693457249211,0.8036128683106294,8.291627087417698,6.971693457249211,6.971693457249211,-2.3672255843139673,-2.3672255843139673,-2.3672255843139673,-2.3672255843139673,-2.3672255843139673,-2.3672255843139673,0.0,0.0,0.0,4.604467872935244
2013-03-31,6.997543194720034,2.8280126035739155,9.84389361881697,6.997543194720034,6.997543194720034,-0.5501489753685423,-0.5501489753685423,-0.5501489753685423,-0.5501489753685423,-0.5501489753685423,-0.5501489753685423,0.0,0.0,0.0,6.447394219351492
2013-04-30,7.0225590701015435,1.7638086782565907,9.557263507164187,7.0225590701015435,7.0225590701015435,-1.2945851057403734,-1.2945851057403734,-1.2945851057403734,-1.2945851057403734,-1.2945851057403734,-1.2945851057403734,0.0,0.0,0.0,5.72797396436117
2013-05-31,7.048408807995772,3.0429851075201175,10.615994554473524,7.048408807995772,7.048408807995772,-0.2818474664131332,-0.2818474664131332,-0.2818474664131332,-0.2818474664131332,-0.2818474664131332,-0.2818474664131332,0.0,0.0,0.0,6.766561341582639
2013-06-30,7.073424683377283,2.804190525414448,10.556343116552046,7.073424683377283,7.073424683377283,-0.2920585104614004,-0.2920585104614004,-0.2920585104614004,-0.2920585104614004,-0.2920585104614004,-0.2920585104614004,0.0,0.0,0.0,6.781366172915883
2013-07-31,7.0992744212715095,1.5421113481025837,9.11910725488021,7.0992744212715095,7.0992744212715095,-1.9593837296519034,-1.9593837296519034,-1.9593837296519034,-1.9593837296519034,-1.9593837296519034,-1.9593837296519034,0.0,0.0,0.0,5.139890691619606
2013-08-31,7.125124159165738,2.5930739391611373,10.004624619621595,7.125124159165738,7.125124159165738,-0.7823502632842566,-0.7823502632842566,-0.7823502632842566,-0.7823502632842566,-0.7823502632842566,-0.7823502632842566,0.0,0.0,0.0,6.342773895881481
2013-09-30,7.150140034547247,4.35325413673552,11.675084157031575,7.150140034547247,7.150140034547247,0.8937808989760465,0.8937808989760465,0.8937808989760465,0.8937808989760465,0.8937808989760465,0.8937808989760465,0.0,0.0,0.0,8.043920933523294
2013-10-31,7.175989772678487,2.9460411087257703,10.383015680416575,7.175989772678487,7.175989772678487,-0.5553774871701456,-0.5553774871701456,-0.5553774871701456,-0.5553774871701456,-0.5553774871701456,-0.5553774871701456,0.0,0.0,0.0,6.620612285508342
2013-11-30,7.201005648289365,5.231132542870955,12.766441086029037,7.201005648289365,7.201005648289365,1.995914692551814,1.995914692551814,1.995914692551814,1.995914692551814,1.995914692551814,1.995914692551814,0.0,0.0,0.0,9.196920340841178
2013-12-31,7.226855386420605,8.756935129784956,16.04976828480952,7.226855386420605,7.226855386420605,5.216504718148664,5.216504718148664,5.216504718148664,5.216504718148664,5.216504718148664,5.216504718148664,0.0,0.0,0.0,12.443360104569269
2014-01-31,7.252705124551846,1.0148690783739305,8.34628073255153,7.252705124551846,7.252705124551846,-2.442695047049371,-2.442695047049371,-2.442695047049371,-2.442695047049371,-2.442695047049371,-2.442695047049371,0.0,0.0,0.0,4.810010077502475
2014-02-28,7.276053275121999,1.0266098722901418,8.160774601451726,7.276053275121999,7.276053275121999,-2.6170650250889214,-2.6170650250889214,-2.6170650250889214,-2.6170650250889214,-2.6170650250889214,-2.6170650250889214,0.0,0.0,0.0,4.658988250033078
2014-03-31,7.30190301325324,3.7994913022230272,11.048240088712,7.30190301325324,7.30190301325324,0.11836787957942602,0.11836787957942602,0.11836787957942602,0.11836787957942602,0.11836787957942602,0.11836787957942602,0.0,0.0,0.0,7.420270892832666
2014-04-30,7.326918888864117,2.566226572077063,10.010011183116154,7.326918888864117,7.326918888864117,-1.0561111030411419,-1.0561111030411419,-1.0561111030411419,-1.0561111030411419,-1.0561111030411419,-1.0561111030411419,0.0,0.0,0.0,6.270807785822974
2014-05-31,7.352768627145907,2.3475227864775916,10.259488645672608,7.352768627145907,7.352768627145907,-1.0704089513920112,-1.0704089513920112,-1.0704089513920112,-1.0704089513920112,-1.0704089513920112,-1.0704089513920112,0.0,0.0,0.0,6.282359675753896
2014-06-30,7.377784502902475,3.097673708046473,10.644099326777344,7.377784502902475,7.377784502902475,-0.6354273571243674,-0.6354273571243674,-0.6354273571243674,-0.6354273571243674,-0.6354273571243674,-0.6354273571243674,0.0,0.0,0.0,6.742357145778108
2014-07-31,7.403634241184266,1.8597693793010224,9.454646176389609,7.403634241184266,7.403634241184266,-1.5887615966477198,-1.5887615966477198,-1.5887615966477198,-1.5887615966477198,-1.5887615966477198,-1.5887615966477198,0.0,0.0,0.0,5.814872644536546
2014-08-31,7.429483979466055,2.9505828522295316,10.455229408757958,7.429483979466055,7.429483979466055,-0.5777054836846562,-0.5777054836846562,-0.5777054836846562,-0.5777054836846562,-0.5777054836846562,-0.5777054836846562,0.0,0.0,0.0,6.851778495781399
2014-09-30,7.454499855222625,4.667470421872239,12.294126428048607,7.454499855222625,7.454499855222625,1.0342942146456335,1.0342942146456335,1.0342942146456335,1.0342942146456335,1.0342942146456335,1.0342942146456335,0.0,0.0,0.0,8.48879406986826
2014-10-31,7.480349593504414,3.530935411286834,10.803538082974734,7.480349593504414,7.480349593504414,-0.21708413380832958,-0.21708413380832958,-0.21708413380832958,-0.21708413380832958,-0.21708413380832958,-0.21708413380832958,0.0,0.0,0.0,7.263265459696084
2014-11-30,7.505365469311708,5.036922553685247,12.501845345111649,7.505365469311708,7.505365469311708,1.253783666815869,1.253783666815869,1.253783666815869,1.253783666815869,1.253783666815869,1.253783666815869,0.0,0.0,0.0,8.759149136127578
2014-12-31,7.531215207645912,9.042443728644388,16.263663623334963,7.531215207645912,7.531215207645912,5.14352995597275,5.14352995597275,5.14352995597275,5.14352995597275,5.14352995597275,5.14352995597275,0.0,0.0,0.0,12.674745163618661
2015-01-31,7.557064945980114,1.3960744738197794,9.175021189105301,7.557064945980114,7.557064945980114,-2.222276779779448,-2.222276779779448,-2.222276779779448,-2.222276779779448,-2.222276779779448,-2.222276779779448,0.0,0.0,0.0,5.334788166200666
2015-02-28,7.580413096733589,1.1351219728705553,8.540330027686828,7.580413096733589,7.580413096733589,-2.8586372879258084,-2.8586372879258084,-2.8586372879258084,-2.8586372879258084,-2.8586372879258084,-2.8586372879258084,0.0,0.0,0.0,4.721775808807781
2015-03-31,7.606262835067793,4.720490148332943,12.240681907255151,7.606262835067793,7.606262835067793,0.7883506697431799,0.7883506697431799,0.7883506697431799,0.7883506697431799,0.7883506697431799,0.7883506697431799,0.0,0.0,0.0,8.394613504810973
2015-04-30,7.631278710875086,3.094738142584862,10.51929844385569,7.631278710875086,7.631278710875086,-0.8396561049641749,-0.8396561049641749,-0.8396561049641749,-0.8396561049641749,-0.8396561049641749,-0.8396561049641749,0.0,0.0,0.0,6.791622605910911
